Date,Season,Week,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,AwayTeam,HomeTeam,AwayScore,HomeScore,TotalScore,OverUnder,PointSpread,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,AwayTimeOfPosession,HomeTimeOfPosession,AwayFirstDowns,HomeFirstDowns,AwayFirstDownsByRushing,HomeFirstDownsByRushing,AwayFirstDownsByPassing,HomeFirstDownsByPassing,AwayFirstDownsByPenalty,HomeFirstDownsByPenalty,AwayOffensivePlays,HomeOffensivePlays,AwayOffensiveYards,HomeOffensiveYards,AwayOffensiveYardsPerPlay,HomeOffensiveYardsPerPlay,AwayTouchdowns,HomeTouchdowns,AwayRushingAttempts,HomeRushingAttempts,AwayRushingYards,HomeRushingYards,AwayRushingYardsPerAttempt,HomeRushingYardsPerAttempt,AwayRushingTouchdowns,HomeRushingTouchdowns,AwayPassingAttempts,HomePassingAttempts,AwayPassingCompletions,HomePassingCompletions,AwayPassingYards,HomePassingYards,AwayPassingTouchdowns,HomePassingTouchdowns,AwayPassingInterceptions,HomePassingInterceptions,AwayPassingYardsPerAttempt,HomePassingYardsPerAttempt,AwayPassingYardsPerCompletion,HomePassingYardsPerCompletion,AwayCompletionPercentage,HomeCompletionPercentage,AwayPasserRating,HomePasserRating,AwayThirdDownAttempts,HomeThirdDownAttempts,AwayThirdDownConversions,HomeThirdDownConversions,AwayThirdDownPercentage,HomeThirdDownPercentage,AwayFourthDownAttempts,HomeFourthDownAttempts,AwayFourthDownConversions,HomeFourthDownConversions,AwayFourthDownPercentage,HomeFourthDownPercentage,AwayRedZoneAttempts,HomeRedZoneAttempts,AwayRedZoneConversions,HomeRedZoneConversions,AwayGoalToGoAttempts,HomeGoalToGoAttempts,AwayGoalToGoConversions,HomeGoalToGoConversions,AwayReturnYards,HomeReturnYards,AwayPenalties,HomePenalties,AwayPenaltyYards,HomePenaltyYards,AwayFumbles,HomeFumbles,AwayFumblesLost,HomeFumblesLost,AwayTimesSacked,HomeTimesSacked,AwayTimesSackedYards,HomeTimesSackedYards,AwaySafeties,HomeSafeties,AwayPunts,HomePunts,AwayPuntYards,HomePuntYards,AwayPuntAverage,HomePuntAverage,AwayGiveaways,HomeGiveaways,AwayTakeaways,HomeTakeaways,AwayTurnoverDifferential,HomeTurnoverDifferential,AwayKickoffs,HomeKickoffs,AwayKickoffsInEndZone,HomeKickoffsInEndZone,AwayKickoffTouchbacks,HomeKickoffTouchbacks,AwayPuntsHadBlocked,HomePuntsHadBlocked,AwayPuntNetAverage,HomePuntNetAverage,AwayExtraPointKickingAttempts,HomeExtraPointKickingAttempts,AwayExtraPointKickingConversions,HomeExtraPointKickingConversions,AwayExtraPointsHadBlocked,HomeExtraPointsHadBlocked,AwayExtraPointPassingAttempts,HomeExtraPointPassingAttempts,AwayExtraPointPassingConversions,HomeExtraPointPassingConversions,AwayExtraPointRushingAttempts,HomeExtraPointRushingAttempts,AwayExtraPointRushingConversions,HomeExtraPointRushingConversions,AwayFieldGoalAttempts,HomeFieldGoalAttempts,AwayFieldGoalsMade,HomeFieldGoalsMade,AwayFieldGoalsHadBlocked,HomeFieldGoalsHadBlocked,AwayPuntReturns,HomePuntReturns,AwayPuntReturnYards,HomePuntReturnYards,AwayKickReturns,HomeKickReturns,AwayKickReturnYards,HomeKickReturnYards,AwayInterceptionReturns,HomeInterceptionReturns,AwayInterceptionReturnYards,HomeInterceptionReturnYards
9/8/1985 12:00:00 AM,1985,1,,Dome,,,,MIA,HOU,23,26,49,45.0,7.5,10,3,3,7,0,0,9,3,14,0,28:20,31:40,17,21,,,,,,,59,58,360,394,6.1,6.8,,,25,41,69,165,2.8,4.0,,,31,17,19,12,291,229,,,2,1,9.4,13.5,15.3,19.1,61.3,70.6,,,,,,,,,,,,,,,,,,,,,,,62,6,5,7,38,57,2,4,1,3,3,0,41,0,,,2,2,86,84,43,42,3,4,4,3,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Grass,,,,STL,CLE,27,24,51,40.5,3.0,7,0,3,14,3,0,3,0,21,0,32:38,32:49,15,19,,,,,,,60,65,286,357,4.8,5.5,,,34,37,100,176,2.9,4.8,,,23,25,12,17,186,181,,,0,1,8.1,7.2,15.5,10.6,52.2,68.0,,,,,,,,,,,,,,,,,,,,,,,58,57,5,12,25,80,1,3,0,2,3,3,21,17,,,8,6,328,270,41,45,0,3,3,0,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Dome,,,,SF,MIN,21,28,49,46.0,11.5,7,0,0,14,0,0,0,7,21,0,33:12,26:48,29,15,,,,,,,84,59,489,268,5.8,4.5,,,39,32,217,86,5.6,2.7,,,44,25,25,12,272,182,,,2,0,6.2,7.3,10.9,15.2,56.8,48.0,,,,,,,,,,,,,,,,,,,,,,,27,22,10,8,69,69,7,1,5,1,1,2,9,10,,,4,9,172,387,43,43,7,1,1,7,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Grass,,,,DET,ATL,28,27,55,42.0,-3.0,0,14,14,0,0,14,7,0,6,0,26:27,33:33,16,21,,,,,,,60,67,286,300,4.8,4.5,,,33,40,130,160,3.9,4,,,23,23,9,16,156,140,,,2,0,6.8,6.1,17.3,8.8,39.1,69.6,,,,,,,,,,,,,,,,,,,,,,,28,58,11,8,84,44,0,3,0,1,4,4,32,39,,,5,6,225,240,45,40,2,1,1,2,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Artificial,,,,SEA,CIN,28,24,52,41.5,3.5,7,14,0,7,0,0,10,14,0,0,28:4,31:56,20,19,,,,,,,55,59,297,344,5.4,5.8,,,27,33,91,151,3.4,4.6,,,25,23,16,13,206,193,,,0,0,8.2,8.4,12.9,14.8,64.0,56.5,,,,,,,,,,,,,,,,,,,,,,,95,72,5,5,40,35,0,3,0,1,3,3,21,30,,,5,4,190,164,38,41,0,1,1,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Dome,,,,KC,NO,47,27,74,43.0,1.5,10,16,7,14,0,3,0,0,24,0,30:1,29:59,22,19,,,,,,,68,77,504,304,7.4,3.9,,,29,27,109,136,3.8,5.0,,,35,48,22,14,395,168,,,1,4,11.3,3.5,18.0,12,62.9,29.2,,,,,,,,,,,,,,,,,,,,,,,57,6,8,10,65,75,4,0,2,0,4,2,24,2,,,3,5,120,190,40,38,3,4,4,3,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Artificial,,,,PHI,NYG,0,21,21,38.5,-6.0,0,0,0,0,0,14,0,0,7,0,24:16,35:44,11,21,,,,,,,50,75,168,317,3.4,4.2,,,16,46,80,192,5,4.2,,,32,21,13,8,88,125,,,1,1,2.8,6.0,6.8,15.6,40.6,38.1,,,,,,,,,,,,,,,,,,,,,,,37,112,11,3,74,20,1,2,0,1,2,8,8,73,,,11,5,451,230,41,46,1,2,2,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Artificial,,,,GB,NE,20,26,46,45.0,-4.0,0,6,0,14,0,7,12,0,7,0,23:13,36:47,16,26,,,,,,,52,76,205,410,3.9,5.4,,,19,41,59,208,3.1,5.1,,,29,28,14,21,146,202,,,1,1,5.0,7.2,10.4,9.6,48.3,75.0,,,,,,,,,,,,,,,,,,,,,,,43,26,5,10,43,63,1,6,1,4,4,7,39,59,,,6,4,288,188,48,47,2,5,5,2,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Grass,,,,TB,CHI,28,38,66,39.0,-8.0,14,14,0,0,0,7,10,14,7,0,26:41,33:19,17,27,,,,,,,53,70,307,436,5.8,6.2,,,29,34,166,185,5.7,5.4,,,21,34,13,23,141,251,,,2,1,6.7,7.4,10.8,10.9,61.9,67.6,,,,,,,,,,,,,,,,,,,,,,,21,55,12,8,80,78,0,2,0,2,3,2,23,19,,,6,2,216,114,36,57,2,3,3,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985 12:00:00 AM,1985,1,,Artificial,,,,IND,PIT,3,45,48,40.5,-10.0,3,0,0,0,0,7,17,7,14,0,21:56,38:4,9,30,,,,,,,47,74,159,445,3.4,6.0,,,16,41,47,163,2.9,4.0,,,30,31,13,21,112,282,,,2,1,3.7,9.1,8.6,13.4,43.3,67.7,,,,,,,,,,,,,,,,,,,,,,,20,53,6,3,48,20,2,2,0,0,1,2,5,6,,,6,2,258,90,43,45,2,1,1,2,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
